id,Danceability
17170,5.0
17171,6.0
17172,3.0
17173,7.0
17174,5.0
17175,5.0
17176,4.0
17177,2.0
17178,4.0
17179,4.0
17180,6.0
17181,5.0
17182,6.0
17183,5.0
17184,4.0
17185,3.0
17186,4.0
17187,2.0
17188,4.0
17189,5.0
17190,4.0
17191,5.0
17192,7.0
17193,7.0
17194,4.0
17195,7.0
17196,7.0
17197,6.0
17198,8.0
17199,5.0
17200,3.0
17201,4.0
17202,1.0
17203,3.0
17204,5.0
17205,5.0
17206,7.0
17207,2.0
17208,2.0
17209,2.0
17210,4.0
17211,6.0
17212,1.0
17213,8.0
17214,5.0
17215,6.0
17216,6.0
17217,5.0
17218,6.0
17219,7.0
17220,5.0
17221,3.0
17222,5.0
17223,5.0
17224,7.0
17225,2.0
17226,5.0
17227,3.0
17228,3.0
17229,2.0
17230,3.0
17231,4.0
17232,4.0
17233,3.0
17234,2.0
17235,5.0
17236,3.0
17237,2.0
17238,2.0
17239,3.0
17240,2.0
17241,1.0
17242,1.0
17243,5.0
17244,3.0
17245,5.0
17246,5.0
17247,7.0
17248,3.0
17249,5.0
17250,3.0
17251,3.0
17252,5.0
17253,4.0
17254,5.0
17255,8.0
17256,5.0
17257,5.0
17258,6.0
17259,4.0
17260,5.0
17261,7.0
17262,5.0
17263,8.0
17264,5.0
17265,6.0
17266,2.0
17267,5.0
17268,8.0
17269,5.0
17270,7.0
17271,8.0
17272,5.0
17273,6.0
17274,7.0
17275,6.0
17276,6.0
17277,4.0
17278,5.0
17279,4.0
17280,3.0
17281,5.0
17282,1.0
17283,7.0
17284,6.0
17285,6.0
17286,4.0
17287,3.0
17288,7.0
17289,5.0
17290,4.0
17291,5.0
17292,7.0
17293,5.0
17294,7.0
17295,7.0
17296,5.0
17297,3.0
17298,6.0
17299,7.0
17300,8.0
17301,7.0
17302,6.0
17303,9.0
17304,6.0
17305,5.0
17306,6.0
17307,6.0
17308,8.0
17309,9.0
17310,6.0
17311,6.0
17312,5.0
17313,6.0
17314,7.0
17315,8.0
17316,6.0
17317,9.0
17318,4.0
17319,4.0
17320,9.0
17321,5.0
17322,4.0
17323,5.0
17324,4.0
17325,4.0
17326,6.0
17327,4.0
17328,3.0
17329,5.0
17330,4.0
17331,7.0
17332,5.0
17333,4.0
17334,5.0
17335,5.0
17336,8.0
17337,7.0
17338,6.0
17339,6.0
17340,7.0
17341,7.0
17342,4.0
17343,2.0
17344,3.0
17345,3.0
17346,4.0
17347,4.0
17348,5.0
17349,3.0
17350,6.0
17351,4.0
17352,7.0
17353,7.0
17354,6.0
17355,5.0
17356,8.0
17357,5.0
17358,7.0
17359,8.0
17360,5.0
17361,6.0
17362,7.0
17363,6.0
17364,6.0
17365,8.0
17366,5.0
17367,7.0
17368,6.0
17369,7.0
17370,8.0
17371,7.0
17372,4.0
17373,5.0
17374,4.0
17375,6.0
17376,5.0
17377,0.0
17378,3.0
17379,7.0
17380,4.0
17381,7.0
17382,7.0
17383,7.0
17384,9.0
17385,4.0
17386,6.0
17387,6.0
17388,6.0
17389,5.0
17390,7.0
17391,5.0
17392,7.0
17393,7.0
17394,6.0
17395,6.0
17396,8.0
17397,6.0
17398,5.0
17399,4.0
17400,7.0
17401,7.0
17402,4.0
17403,6.0
17404,5.0
17405,7.0
17406,3.0
17407,5.0
17408,4.0
17409,6.0
17410,3.0
17411,6.0
17412,2.0
17413,7.0
17414,5.0
