(eps=0.0, alpha=0.0, tol=0.0): Ein=1.8021285858893563, Eval=2.182159785434205
(eps=0.0, alpha=0.0, tol=0.010000000000000009): Ein=1.8654733594589077, Eval=2.0808311516656635
(eps=0.0, alpha=0.0, tol=0.020000000000000004): Ein=1.8790032795786296, Eval=2.0685076586727873
(eps=0.0, alpha=0.0, tol=0.03): Ein=1.8862591965924438, Eval=2.065007981660369
(eps=0.0, alpha=0.0, tol=0.04000000000000001): Ein=1.8862591965924438, Eval=2.065007981660369
(eps=0.0, alpha=0.0, tol=0.05): Ein=1.8862591965924438, Eval=2.065007981660369
(eps=0.0, alpha=0.0, tol=0.060000000000000005): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.07): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.08): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.09000000000000001): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.1): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.11): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.12000000000000001): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.13): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.14): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.15000000000000002): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.16): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.17): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.18): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=0.0, tol=0.19): Ein=1.893914089827745, Eval=2.0636222061752147
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.0): Ein=1.8021355924388491, Eval=2.18209108589925
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.010000000000000009): Ein=1.8655136209222603, Eval=2.080830052857282
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.020000000000000004): Ein=1.8790700462676297, Eval=2.0687395373248227
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.03): Ein=1.8863250972168382, Eval=2.065166905732031
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.04000000000000001): Ein=1.8863250972168382, Eval=2.065166905732031
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.05): Ein=1.8863250972168382, Eval=2.065166905732031
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.060000000000000005): Ein=1.8939750218559437, Eval=2.063681509523633
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.07): Ein=1.8939750218559437, Eval=2.063681509523633
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.08): Ein=1.8939750218559437, Eval=2.063681509523633
(eps=0.0, alpha=1.0000000000000006e-06, tol=0.09000000000000001): Ein=1.8939750218559437, Eval=2.063681509523633
