(eps=0.05, alpha=5e-07, tol=0.05): Ein=1.8942438092505836, Eval=2.0589512419845026
(eps=0.05, alpha=5e-07, tol=0.060000000000000005): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.07): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.08): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.09000000000000001): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.1): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.11): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.12000000000000001): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.13): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.14): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=5e-07, tol=0.15000000000000002): Ein=1.9016602165928707, Eval=2.0568088107311167
(eps=0.05, alpha=6e-07, tol=0.05): Ein=1.8942293090013036, Eval=2.058969794525312
(eps=0.05, alpha=6e-07, tol=0.060000000000000005): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.07): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.08): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.09000000000000001): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.1): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.11): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.12000000000000001): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.13): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.14): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=6e-07, tol=0.15000000000000002): Ein=1.9016547834880844, Eval=2.056844087934543
(eps=0.05, alpha=7e-07, tol=0.05): Ein=1.8942303866776156, Eval=2.0589696576843313
(eps=0.05, alpha=7e-07, tol=0.060000000000000005): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.07): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.08): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.09000000000000001): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.1): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.11): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.12000000000000001): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.13): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.14): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=7e-07, tol=0.15000000000000002): Ein=1.901656087339164, Eval=2.0568445065284475
(eps=0.05, alpha=8e-07, tol=0.05): Ein=1.8942306401687945, Eval=2.058898752189782
(eps=0.05, alpha=8e-07, tol=0.060000000000000005): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.07): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.08): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.09000000000000001): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.1): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.11): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.12000000000000001): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.13): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.14): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=8e-07, tol=0.15000000000000002): Ein=1.9016248632067476, Eval=2.056843648987202
(eps=0.05, alpha=9e-07, tol=0.05): Ein=1.8942317194833997, Eval=2.058898615399831
(eps=0.05, alpha=9e-07, tol=0.060000000000000005): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.07): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.08): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.09000000000000001): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.1): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.11): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.12000000000000001): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.13): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.14): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=9e-07, tol=0.15000000000000002): Ein=1.9016261619047494, Eval=2.056844067666303
(eps=0.05, alpha=1e-06, tol=0.05): Ein=1.8942346462258324, Eval=2.0589380612196306
(eps=0.05, alpha=1e-06, tol=0.060000000000000005): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.07): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.08): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.09000000000000001): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.1): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.11): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.12000000000000001): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.13): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.14): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1e-06, tol=0.15000000000000002): Ein=1.9016402779223833, Eval=2.0568487971608187
(eps=0.05, alpha=1.1e-06, tol=0.05): Ein=1.894235731239205, Eval=2.058937924381782
(eps=0.05, alpha=1.1e-06, tol=0.060000000000000005): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.07): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.08): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.09000000000000001): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.1): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.11): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.12000000000000001): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.13): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.14): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.1e-06, tol=0.15000000000000002): Ein=1.9016415817870935, Eval=2.05684921580798
(eps=0.05, alpha=1.2e-06, tol=0.05): Ein=1.8942280848736028, Eval=2.058989517236139
(eps=0.05, alpha=1.2e-06, tol=0.060000000000000005): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.07): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.08): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.09000000000000001): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.1): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.11): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.12000000000000001): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.13): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.14): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2e-06, tol=0.15000000000000002): Ein=1.901628252552076, Eval=2.056865903633918
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.05): Ein=1.8942291641644213, Eval=2.058989380346026
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.060000000000000005): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.07): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.08): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.09000000000000001): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.1): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.11): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.12000000000000001): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.13): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.14): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.2999999999999998e-06, tol=0.15000000000000002): Ein=1.9016295512182517, Eval=2.0568663222557877
(eps=0.05, alpha=1.4e-06, tol=0.05): Ein=1.8942249334284993, Eval=2.058977878883347
(eps=0.05, alpha=1.4e-06, tol=0.060000000000000005): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.07): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.08): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.09000000000000001): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.1): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.11): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.12000000000000001): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.13): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.14): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.4e-06, tol=0.15000000000000002): Ein=1.9016664443465334, Eval=2.056803003920546
(eps=0.05, alpha=1.5e-06, tol=0.05): Ein=1.8942351588717086, Eval=2.0588630149037206
(eps=0.05, alpha=1.5e-06, tol=0.060000000000000005): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.07): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.08): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.09000000000000001): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.1): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.11): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.12000000000000001): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.13): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.14): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.05, alpha=1.5e-06, tol=0.15000000000000002): Ein=1.9016415823178654, Eval=2.0567499974250434
(eps=0.060000000000000005, alpha=5e-07, tol=0.05): Ein=1.89426925189513, Eval=2.058634073328593
(eps=0.060000000000000005, alpha=5e-07, tol=0.060000000000000005): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.07): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.08): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.09000000000000001): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.1): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.11): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.12000000000000001): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.13): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.14): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=5e-07, tol=0.15000000000000002): Ein=1.9018914287643995, Eval=2.060864377517528
(eps=0.060000000000000005, alpha=6e-07, tol=0.05): Ein=1.8943028424374562, Eval=2.058521667762234
(eps=0.060000000000000005, alpha=6e-07, tol=0.060000000000000005): Ein=1.901892714426196, Eval=2.0608647749641924
(eps=0.060000000000000005, alpha=6e-07, tol=0.07): Ein=1.901892714426196, Eval=2.0608647749641924
(eps=0.060000000000000005, alpha=6e-07, tol=0.08): Ein=1.901892714426196, Eval=2.0608647749641924
(eps=0.060000000000000005, alpha=6e-07, tol=0.09000000000000001): Ein=1.901892714426196, Eval=2.0608647749641924
(eps=0.060000000000000005, alpha=6e-07, tol=0.1): Ein=1.901892714426196, Eval=2.0608647749641924
(eps=0.060000000000000005, alpha=6e-07, tol=0.11): Ein=1.901892714426196, Eval=2.0608647749641924
(eps=0.060000000000000005, alpha=6e-07, tol=0.12000000000000001): Ein=1.901892714426196, Eval=2.0608647749641924
